institutionCode	url	xxh64
F	https://fm-digital-assets.fieldmuseum.org/1148/335/V0094738F.jpg	09dbabb07389f45f
F	https://fm-digital-assets.fieldmuseum.org/1252/911/V0356478F.jpg	c85facc3af29f463
F	https://fm-digital-assets.fieldmuseum.org/1258/794/268993.jpg	f0c7172fdebc4165
F	https://fm-digital-assets.fieldmuseum.org/1271/888/V0389717F.jpg	b77c407783118a4c
F	https://fm-digital-assets.fieldmuseum.org/1277/177/IMG_6510.jpg	e504709ca0040e62
F	https://fm-digital-assets.fieldmuseum.org/1277/183/IMG_6183.jpg	07aa82bac0c4c4f0
F	https://fm-digital-assets.fieldmuseum.org/1277/184/IMG_6184.jpg	81bb6d7baccb8a83
F	https://fm-digital-assets.fieldmuseum.org/1277/188/IMG_6188.jpg	f32aab11b204df5e
F	https://fm-digital-assets.fieldmuseum.org/1277/189/IMG_6190.jpg	eab0536cc7849b5f
F	https://fm-digital-assets.fieldmuseum.org/1277/191/IMG_6192.jpg	33affdc2f9c83d37
F	https://fm-digital-assets.fieldmuseum.org/1277/192/IMG_6193.jpg	6689c83071e48c74
F	https://fm-digital-assets.fieldmuseum.org/1277/193/IMG_6194.jpg	560918f3fde9c057
F	https://fm-digital-assets.fieldmuseum.org/1277/194/IMG_6196.jpg	cbec21244dd0356a
F	https://fm-digital-assets.fieldmuseum.org/1277/196/IMG_6198.jpg	011fb5123bf17867
F	https://fm-digital-assets.fieldmuseum.org/1277/197/IMG_6199.jpg	baa7335956d1b26f
F	https://fm-digital-assets.fieldmuseum.org/1277/198/IMG_6201.jpg	d0771328cf6076ab
F	https://fm-digital-assets.fieldmuseum.org/1277/200/IMG_6202.jpg	8e289aac2bb2d016
F	https://fm-digital-assets.fieldmuseum.org/1277/201/IMG_6206.jpg	0828e401f45c96c5
F	https://fm-digital-assets.fieldmuseum.org/1277/202/IMG_6207.jpg	08ca67d99e9a021d
F	https://fm-digital-assets.fieldmuseum.org/1277/203/IMG_6208.jpg	c8242c7310fb9dab
F	https://fm-digital-assets.fieldmuseum.org/1277/205/IMG_6209.jpg	e090ece9c642c1bd
F	https://fm-digital-assets.fieldmuseum.org/1277/206/IMG_6210.jpg	82a6f9f3df4274ed
F	https://fm-digital-assets.fieldmuseum.org/1277/207/IMG_6211.jpg	26a40f3cb8b2312c
F	https://fm-digital-assets.fieldmuseum.org/1277/208/IMG_6212.jpg	10a9dec07a13bcb2
F	https://fm-digital-assets.fieldmuseum.org/1277/210/IMG_6216.jpg	3618ac658b314e41
F	https://fm-digital-assets.fieldmuseum.org/1277/211/IMG_6218.jpg	e2e9224338af9668
F	https://fm-digital-assets.fieldmuseum.org/1277/212/IMG_6219.jpg	be0006899bdae42b
F	https://fm-digital-assets.fieldmuseum.org/1277/213/IMG_6220.jpg	9cd1e9f533c7733a
F	https://fm-digital-assets.fieldmuseum.org/1277/215/IMG_6221.jpg	ea71750601d2419b
F	https://fm-digital-assets.fieldmuseum.org/1277/216/IMG_6223.jpg	42c07d8f700800a3
F	https://fm-digital-assets.fieldmuseum.org/1277/228/IMG_6235.jpg	4ec650e64399d7fe
F	https://fm-digital-assets.fieldmuseum.org/1277/230/IMG_6236.jpg	c65fb66b99e93c59
F	https://fm-digital-assets.fieldmuseum.org/1277/231/IMG_6237.jpg	74843fda2c19c36b
